Ref,Val,Package,PosX,PosY,Rot,Side
"C18","4.7µF","GRT21BR61E226ME13L",112.712000,-67.602000,-90.000000,bottom
"C19","0.1µF","CAPC2012X90N",110.148000,-68.375000,-90.000000,bottom
"C20","0.01µF","CAPC2012X95N",108.383000,-68.394000,-90.000000,bottom
"C22","0.1µF","CAPC2012X90N",93.321000,-77.866000,90.000000,bottom
"C23","0.1µF","CAPC2012X95N",105.217000,-59.410000,90.000000,bottom
"C24","0.1µF","CAPC2012X95N",94.985000,-53.881000,-90.000000,bottom
"C25","0.1µF","CAPC2012X90N",90.858000,-53.912000,-90.000000,bottom
"C26","4.7µF","GRT21BR61E226ME13L",89.202000,-68.084000,-90.000000,bottom
"C27","0.1µF","CAPC2012X90N",93.540000,-68.284000,-90.000000,bottom
"C30","0.01µF","CAPC2012X95N",91.764000,-68.290000,-90.000000,bottom
"C34","27pF","CAPC2012X70N",90.012000,-48.308000,-90.000000,bottom
"C35","100µF","CAPC2012X75N",80.469000,-77.413000,0.000000,bottom
"C39","1000pF","C0805",110.125000,-61.050000,90.000000,bottom
"C40","1000pF","C0805",110.337000,-48.837000,90.000000,bottom
"D3","MBRA340T3G","DIOM5226X220N",104.886000,-64.320000,180.000000,bottom
"D4","MBRA340T3G","DIOM5226X220N",95.760000,-59.052000,180.000000,bottom
"D5","1N4148X-TP","SODFL1608X70N",94.987000,-50.152000,-90.000000,bottom
"D8","1N4148X-TP","SODFL1608X70N",92.780000,-49.392000,0.000000,bottom
"Q1","CSD17313Q2","TRANS_CSD17313Q2",91.027000,-63.812500,90.000000,bottom
"Q3","MMBT3904T-7-F","SOT50P160X90-3N",85.751000,-48.176000,-90.000000,bottom
"Q4","MMBT3904T-7-F","SOT50P160X90-3N",97.684000,-83.468000,0.000000,bottom
"R7","5.11","RESC3216X60N",107.308000,-60.251000,90.000000,bottom
"R8","1.0","RESC3116X65N",103.126000,-60.228000,90.000000,bottom
"R10","5.11","RESC3216X60N",97.041000,-54.739000,-90.000000,bottom
"R11","1.0","RESC3116X65N",92.932000,-54.699000,90.000000,bottom
"R12","10.0k","RESC2012X60N",115.391000,-61.327000,-90.000000,bottom
"R13","27","RESC3216X60N",91.027000,-59.279000,90.000000,bottom
"R14","10.0k","RESC2012X60N",115.412000,-48.889000,-90.000000,bottom
"R15","5.1k","RESC2012X60N",96.799000,-50.591000,90.000000,bottom
"R18","10.0k","RESC2012X60N",96.100000,-47.762000,0.000000,bottom
"R19","1.0k","RESC2012X60N",88.676000,-63.513000,90.000000,bottom
"R20","5.1k","RESC2012X60N",86.583000,-62.422000,-90.000000,bottom
"R21","1.00k","RESC2012X60N",86.376000,-50.756000,180.000000,bottom
"R23","5.1k","RESC2012X60N",82.244000,-79.734000,0.000000,bottom
"R24","2.00k","RESC2012X60N",85.839000,-59.339000,0.000000,bottom
"R25","5.1k","RESC2012X60N",87.949000,-47.962000,-90.000000,bottom
"R26","5.1k","RESC2012X60N",92.622000,-47.755000,0.000000,bottom
"R28","10.0k","RESC2012X60N",85.179000,-56.200000,-90.000000,bottom
"R30","5.1k","RESC2012X60N",94.156000,-81.179000,180.000000,bottom
"R31","0","RESC2012X60N",100.970000,-83.334000,-90.000000,bottom
"R32","5.1k","RESC2012X60N",94.183000,-83.603000,180.000000,bottom
"R33","0","RESC2012X60N",107.105000,-83.038000,0.000000,bottom
"R34","0","RESC2012X60N",107.131000,-81.033000,180.000000,bottom
"R132","0","RESC2012X60N",103.989000,-82.523000,-90.000000,bottom
"U2","TPS7B6950QDCYRQ1","VREG_TPS7B6950QDCYRQ1",81.091000,-50.400000,90.000000,bottom
"U6","UCC21530QDWKRQ1","UCC21530QDWKRQ1",101.062000,-72.762000,90.000000,bottom
"U7","ISO7721QDRQ1","SOIC127P600X175-8N",81.857000,-72.723000,90.000000,bottom
"U8","LMV762QMA_NOPB","SOIC127P600X175-8N",80.788000,-60.328000,-90.000000,bottom
"U9","TL431AQDBZRQ1","DBZ3",88.099500,-55.387000,180.000000,bottom
"C1","0.1µF","CAPC2012X90N",109.839000,-59.347000,180.000000,top
"C2","10µF","CAPC2012X135N",96.084000,-83.593000,-90.000000,top
"C3","0.1µF","CAPC2012X90N",101.631000,-83.592000,90.000000,top
